accommodates,amenities,availability_30,bathrooms,bed_type,bedrooms,beds,calculated_host_listings_count,cancellation_policy,guests_included,has_availability,host_is_superhost,host_listings_count,instant_bookable,latitude(North),longitude(East),maximum_nights,number_of_reviews,property_type,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,room_type,,price
6,"{""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets live on this property"",Dog(s),""Other pet(s)"",""Hot Tub"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials}",0,2.5,Real Bed,1,3,1,moderate,1,t,f,1,f,22.5429,114.0596,10,1,House,10,10,10,100,10,Private room,,$300.00
2,"{""Air Conditioning"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher""}",29,0,Futon,1,1,1,moderate,1,t,f,1,f,22.53949026,114.0432254,7,0,Camper/RV,,,,,,Private room,,$99.00
2,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door""}",30,1.5,Real Bed,1,1,2,flexible,1,t,f,2,f,22.50857255,114.079426,1125,0,House,,,,,,Private room,,$100.00
2,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door""}",30,1.5,Real Bed,1,1,2,flexible,1,t,f,2,f,22.50869749,114.0790348,1125,0,House,,,,,,Private room,,$100.00
6,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo}",27,2,Real Bed,3,3,2,strict,1,t,f,301,f,22.50950177,114.0555903,1125,0,House,,,,,,Entire home/apt,,$599.00
2,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials}",30,1,Real Bed,1,1,1,flexible,1,t,f,1,f,22.52683988,114.036466,1125,0,House,,,,,,Private room,,$100.00
2,"{""Wireless Internet"",""Air Conditioning"",""Pets live on this property"",Heating,""Family/Kid Friendly""}",0,1,Futon,1,1,1,flexible,2,t,f,1,f,22.52777147,114.0236918,1125,0,Bed & Breakfast,,,,,,Private room,,$54.00
2,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",16,1,Real Bed,1,1,1,moderate,2,t,f,1,t,22.52325961,114.0529223,7,2,House,10,10,10,100,10,Private room,,$40.00
6,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo}",29,1,Real Bed,1,3,1,flexible,2,t,f,2,t,22.52936805,114.0745361,1125,0,House,,,,,,Private room,,$130.00
2,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo}",29,1,Real Bed,1,1,1,moderate,2,t,t,1,f,22.51049991,114.0739115,1125,20,House,10,10,10,99,10,Private room,,$44.00
